,title,keywords,url,,,,,good
1975,Barack Obama Vs Kathy Castor: Getting In Their Face,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=RqfIjMJb88Y,,,,,
1976,"Moffitt McKinley Campus Groundbreaking, Representative Kathy Castor",kathy+castor+campaign+speech,https://www.youtube.com/watch?v=ySKCkmK907k,,,,,
1977,Tampa town hall meeting with Kathy Castor,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=HbBgjc56Mxk,,,,,
1978,"🔴 President Trump EXPLOSIVE Speech at MASSIVE Rally in Tampa, Florida - July 31, 2018",kathy+castor+campaign+speech,https://www.youtube.com/watch?v=iWnWVy5cRqc,,,,,
1979,Rush Limbaugh Gets Scoop on SEIU Kathy Castor Townhall Meeting,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=bMPgs7xoC4w,,,,,
1980,Smart Congresswoman EDUCATES Mark Zuckerberg Like A Child When He Can’t Answer A Basic Questions,kathy+castor+campaign+speech,https://www.youtube.com/watch?v=klNCSWQORTo,,,,,
2241,Rep. Sanford Bishop,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/user/RepSanfordBishop,,,,,
2242,ngaga18 bus session rep sanford bishop movie,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=lY7aquf5HTY,,,,,
2243,41NBC/WMGT- Sanford Bishop Luncheon - 01.17.14,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=fEU5R67DEUQ,,,,,
2244,Why Sanford Bishop Should Be Re-elected,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=WSOhTInuTpA,,,,,
2245,Rep. Sanford Bishop Video Message on Women's History Month,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=CwvD0oaEUsU,,,,,
2246,Rep. Sanford Bishop Town Hall Q and A - 05/09/2017,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=k5JTdcCyqqw,,,,,
2247,"Ministry of Public Service - Sanford D. Bishop, Jr.",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=rBX7T1QyUSo,,,,,
2248,"Sanford Bishop TV ad ""No Problem""",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=DKqPs4i4Ei4,,,,,
2249,Sanford Bishop Takes Care of Himself,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=IU9i2u_55pA,,,,,
2250,Sanford Bishop Visits Calhoun County Family Connection,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=cXEpnwEqZyg,,,,,
2251,Representative Rob Bishop,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=GYSI7mfYPKU,,,,,
2252,BishopforCongress,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/channel/UCEQoGBbQkegHWpMjYP6W7hA,,,,,
2253,"Sanford Bishop TV ad ""Choices""",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=xHwkOWuRjVA,,,,,
2254,FSMBC 3/12/2017 Congressman Sanford Bishop 7:45 a.m.,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=MJs87V348SQ,,,,,
2255,Rep. Sanford Bishop honors Millard Fuller,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=FqxbWAnT7V8,,,,,
2256,"Message to America: Wake Up, Get Up, Get Involved by Rep. Sanford Bishop",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=6OCP72b6VIU,,,,,x
2257,"Rep. Sanford D. Bishop, Jr.- HBCU Special Orders",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=eNZWckpCuFA,,,,,
2258,"Day 25: Congressman Sanford D. Bishop, Jr.",sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=Q9993638b-s,,,,,
2259,Congressman Bishop Announces STEM Competition,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=wxz5xs2qP3Y,,,,,
2260,Iraq Troop Surge Debate : Sanford Bishop - Anti Surge,sanford+dixon+jr+bishop+campaign+speech,https://www.youtube.com/watch?v=66WTIxbuhaY,,,,,
3521,"Joe Kennedy, III delivers speech at RFK celebration",joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=60oXZoxAO0E,,,,,
3522,"Rep. Joe Kennedy, III: I’m Not Running For President | AM Joy | MSNBC",joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=-CULskWXKKs,,,,,
3523,Rep. Joe Kennedy III delivers Democratic response to State of the Union,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=92QRj34fLfo,,,,,
3524,Joe Kennedy III Election Night Speech,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=uyD4Fd2_Ex8,,,,,
3525,"Joe Kennedy III: LGBT rights, white working classes, Presidential run?",joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=NBzbXug20bc,,,,,
3526,Joseph Kennedy III EVISCERATES Trumpcare in Moving Speech,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=MsZvU9EpGGk,,,,,
3527,Joseph Kennedy introduces Sen. Warren at DNC,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=kIqcYoE9GQg,,,,,
3528,Congressman Joseph Kennedy III Capital Campaign Speech,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=U2mcb4F_DDw,,,,,
3529,I'm Running,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=b7F7MnMdtDw,,,,,
3530,"June 15, 1968 - Edward & Rose Kennedy thanks the nation following Robert F. Kennedy's death",joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=CDmXpcDHwIo,,,,,
3531,President John F. Kennedy's America's Cup speech in 1962 and JPK DD850,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=00LowBUnlCo,,,,,
3532,Joseph Kennedy speaks in favor of keeping United States out of World War II durin...HD Stock Footage,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=CSptCL-Q3i4,,,,,
3533,FULL: Joseph P. Kennedy III - Democratic National Convention,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=5XFF_5sUSac,,,,,x
3534,City Upon a Hill By JFK (Joseph Kennedy III),joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=ek3T8LZA75I,,,,,
3535,Rep. Joe Kennedy III on the Peace Corps,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=s4JSCXeGTI0,,,,,
3536,Is Joe Kennedy III going to run for President in 2020?,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=8le4I5LKGxE,,,,,
3537,National Leadership Summit 2018: Rep. Joseph Kennedy III,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=txrMO3KLvNI,,,,,
3538,FULL SPEECH: 2018 Democratic Response to SOTU,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=0DBOOhd-OY0,,,,,
3539,"Congressman Joe Kennedy III on His Family, Trump's Tweets, Health Care & Legalizing Pot",joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=W-tAeO60Qz4,,,,,
3540,Patrick Kennedy on support of  Joseph P. Kennedy III,joseph+p+iii+kennedy+campaign+speech,https://www.youtube.com/watch?v=9I9hg3vAiHw,,,,,
3741,"Kennedy-Clinton Dinner, New Hampshire | John K. Delaney",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=z-NvLskoi7I,,,,,x
3742,Democratic Rep. John Delaney talks 2020 presidential bid,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=xYW6UokQC8U,,,,,
3743,Why I'm Running,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=DCCzeFu-7Wg,,,,,
3744,About Me | John K. Delaney,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=DEds_wM8Kx4,,,,,
3745,Rep. John Delaney on the Ryan Budget,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=9BtSt_HgoAk,,,,,
3746,Pay for success in government: better outcomes at lower cost | John Delaney | TEDxPennsylvaniaAvenue,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=_9kAZ225p8E,,,,,
3747,"""Early""",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=M26J2Xf5E8w,,,,,
3748,Democratic Congressman John Delaney Makes Early Presidential Pitch To US | Morning Joe | MSNBC,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=XSVSGtHbsPY,,,,,
3749,John K. Delaney on Hill.TV,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=4QSSGDPzVu0,,,,,
3750,Congressman John K. Delaney,john+k+delaney+campaign+speech,https://www.youtube.com/channel/UCc7fDpVPrm9B9e-ChkXdVtA,,,,,
3751,Maryland Congressman John K. Delaney Announces Run For President,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=5rYBs0933I8,,,,,
3752,"Cong. John Delaney, Democratic Candidate for President in 2020",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=QVTnloCkgC4,,,,,
3753,"The First Dem 2020 Presidential Candidate, Congressman John Delaney",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=AlT9IeC34bA,,,,,
